Correlation_Type,Variable_1,Variable_2,Correlation
Macro vs Micro Target,TaxaCambio,Preço,0.09493762725817849
Macro vs Micro Target,Selic,Preço,0.22481166596419977
Macro vs Micro Target,PIB,Preço,0.20350485875284954
Macro vs Micro Target,IPCA,Preço,0.313393398240133
Micro vs Micro Target,ROA,Preço,0.661686914126559
Micro vs Micro Target,ROE,Preço,0.6980573452443428
Micro vs Micro Target,Margem Líquida,Preço,0.6446768042477126
Micro vs Micro Target,P/L,Preço,0.30397937742720404
Micro vs Micro Target,VP,Preço,-0.46879843227123036
Micro vs Micro Target,Preço_anterior,Preço,0.9970775478645468
